Product URL,Product Name,Product price,Product rating,Number of reviews
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_59?crid=2JDAPD2D856LD&keywords=bags&qid=1685069425&sprefix=bags%2Caps%2C234&sr=8-59,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),₹497.00,4.3 out of 5 stars,"12,760 ratings"
https://www.amazon.in/Expandable-Backpack-Water-resistant-Business-Charging/dp/B0B6FNB898/ref=sr_1_60?crid=2JDAPD2D856LD&keywords=bags&qid=1685069425&sprefix=bags%2Caps%2C234&sr=8-60,Arctic Hunter Laptop Bag Expandable Backpack for 16 inch Lapotp 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men and Women,"₹3,514.00",4.5 out of 5 stars,52 ratings
Product URL,Product Name,Product price,Product rating,Number of reviews
https://www.amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF/ref=sr_1_72?crid=2JDAPD2D856LD&keywords=bags&qid=1685069443&sprefix=bags%2Caps%2C234&sr=8-72,Kore Regular Gym Bag,₹59.00,2.6 out of 5 stars,"1,741 ratings"
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_75?crid=2JDAPD2D856LD&keywords=bags&qid=1685069443&sprefix=bags%2Caps%2C234&sr=8-75,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899.00,3.9 out of 5 stars,"9,506 ratings"
https://www.amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76/ref=sr_1_78?crid=2JDAPD2D856LD&keywords=bags&qid=1685069443&sprefix=bags%2Caps%2C234&sr=8-78,Arctic Hunter Backpack Premium Business Backpack for Men Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Padded College Backpack for Men,"₹5,699.00",4.3 out of 5 stars,98 ratings
https://www.amazon.in/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH/ref=sr_1_241?crid=2JDAPD2D856LD&keywords=bags&qid=1685069462&sprefix=bags%2Caps%2C234&sr=8-241,"Storite Stylish Multi-Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Brown, 20.5x9x16.5cm)",₹798.00,4.0 out of 5 stars,864 ratings
https://www.amazon.in/Hammonds-Flycatcher-Brown-Mens-Laptop/dp/B01LYDRI9V/ref=sr_1_244?crid=2JDAPD2D856LD&keywords=bags&qid=1685069462&sprefix=bags%2Caps%2C234&sr=8-244,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men","₹2,899.00",4.4 out of 5 stars,"2,412 ratings"
https://www.amazon.in/SBCOLLECTION-Premium-Backpack-Water-Resistance-Business/dp/B0BXY23WMS/ref=sr_1_248?crid=2JDAPD2D856LD&keywords=bags&qid=1685069462&sprefix=bags%2Caps%2C234&sr=8-248,SBCOLLECTION Premium School College Office Laptop Daily Use Backpack for All Day Traveler,₹239.00,4.0 out of 5 stars,7 ratings
https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2XC4H/ref=sr_1_254?crid=2JDAPD2D856LD&keywords=bags&qid=1685069462&sprefix=bags%2Caps%2C234&sr=8-254,"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",₹398,5.0 out of 5 stars,4 ratings
